x,y
-22.493828124420013,28802.405
-16.256941872385816,29802.405
-13.666487848514173,30802.405
-13.034216552290015,31802.405
-16.111732350386372,32802.405
-13.962981131327933,33802.405
-17.08221189907356,34802.405
-13.226523057171015,35802.405
-17.682152969515702,36802.405
-13.555967542266508,37802.405
-14.995627604014075,38802.405
-14.235760234469872,39802.405
-12.072002769205953,40802.405
-10.864941931613071,41802.405
-14.988181491566577,42802.405
-13.966950614055895,43802.405
-15.249601398612674,44802.405
-11.309495142601286,45802.405
-13.162348770568988,46802.405
-14.757562605366157,47802.405
-12.810089977483718,48802.405
-14.656680058562287,49802.405
-14.622359738751392,50802.405
-16.54416277964012,51802.405
-17.231247537774806,52802.405
-19.517441032288176,53802.405
-13.270385126389005,54802.405
-13.681842990353008,55802.405
-16.41864962297123,56802.405
-16.045910662448392,57802.405
-19.25320169533872,58802.405
-16.20541380172083,59802.405
-11.804820270954286,60802.405
-15.693353185866572,61802.405
-27.619081582500886,62802.405
-13.692094853022127,63802.405
-13.749988133141752,64802.405
-15.661123502734988,65802.405
-13.726784496088465,66802.405
-14.917021731445427,67802.405
-14.435984345050896,68802.405
-20.151881265277737,69802.405
-12.11787811437085,70802.405
-12.769639350542658,71802.405
-15.940625862601244,72802.405
-18.812174797926662,73802.405
-13.107032105223997,74802.405
-13.906283661785753,75802.405
-19.659006977301107,76802.405
-15.643448020542722,77802.405
-14.289161473990928,78802.405
-12.619888777784595,79802.405
-15.924030730235433,80802.405
-16.145681542083558,81802.405
-12.502814361195389,82802.405
-12.90911869675952,83802.405
-16.064425306803653,84802.405
-14.524437553847655,85802.405
-18.602040477302538,86802.405
-17.99420492681126,87802.405
-17.24860967720209,88802.405
-12.919670497577027,89802.405
-15.023981190418894,90802.405
-15.183885724109686,91802.405
-13.885281047017449,92802.405
-16.04422946828112,93802.405
-18.220157373979895,94802.405
-14.908167612800984,95802.405
-14.798246003575217,96802.405
-16.90037051198225,97802.405
-19.65136431104641,98802.405
-14.87431019145897,99802.405
-14.129932716076134,100802.405
-14.618079218103905,101802.405
-15.174755495898925,102802.405
-17.551202367578547,103802.405
-15.21744557829975,104802.405
-13.058023308698498,105802.405
-13.090266285192483,106802.405
-11.794508160473105,107802.405
-14.8993225105722,108802.405
-28.510896470406397,109802.405
-19.694761939561218,110802.405
-8.202883443332855,111802.405
-15.698197969651975,112802.405
-13.690812708265492,113802.405
-18.727052168141483,114802.405
-15.426269651169411,115802.405
-20.326258808446703,116802.405
-30.370013729286732,117802.405
-41.1816780366135,118802.405
-14.1003155807409,119802.405
-12.53305735006074,120802.405
-19.067902106066782,121802.405
-16.453822336099872,122802.405
-16.409878654197993,123802.405
-18.429992793914607,124802.405
-16.57984848981212,125802.405
-18.856212758338092,126802.405
-13.660097875712138,127802.405
-14.449964534191714,128802.405
-12.216851422885398,129802.405
-13.30097573925119,130802.405
-10.899271722241352,131802.405
-15.189977879111717,132802.405
-41.58574575837924,133802.405
-11.638240659760264,134802.405
-13.138254747801577,135802.405
-15.632218685251368,136802.405
-17.8171695166574,137802.405
-17.52126131884068,138802.405
-15.43723569599628,139802.405
-17.269877308532873,140802.405
-15.777714375949463,141802.405
-15.42470420291104,142802.405
-13.63968149578051,143802.405
-16.71317527958727,144802.405
-12.40275820967861,145802.405
-16.423916458688787,146802.405
-17.29507910398214,147802.405
-16.118511581667534,148802.405
-25.61359279597603,149802.405
-41.5539874427866,150802.405
-11.778034206481982,151802.405
-10.729875394842527,152802.405
-12.438201827901132,153802.405
-13.210738253037245,154802.405
-12.491639922965538,155802.405
-15.004571373094741,156802.405
-15.821842614665826,157802.405
-21.739823228882752,158802.405
-16.121903182506436,159802.405
-16.17805664638721,160802.405
-16.44677638995153,161802.405
-18.75916270244985,162802.405
-13.48180929009726,163802.405
-18.624636456846257,164802.405
-16.181471582400555,165802.405
-24.638451401960488,166802.405
-14.638073053787362,167802.405
-10.771915767669979,168802.405
-13.092659421903605,169802.405
-14.49625946056029,170802.405
-15.232743027900316,171802.405
-17.018039454263423,172802.405
-14.714183675659546,173802.405
-17.14877076605211,174802.405
-17.9984142264517,175802.405
-15.853030761776253,176802.405
