x,y
-11.8493023850167,10803.069
-11.959938860601087,11803.069
-15.249601398612674,12803.069
-11.427245110885673,13803.069
-13.757736474099884,14803.069
-12.781177462810607,15803.069
-11.69511094590365,16803.069
-10.421775661034339,17803.069
-11.089124520347637,18803.069
-10.91415916393727,19803.069
-12.502814361195389,20803.069
-10.98428621722272,21803.069
-11.62711333208475,22803.069
-12.431545123292729,23803.069
-13.602798681813104,24803.069
-15.348340816591486,25803.069
-16.554853106697976,26803.069
-13.65882044506963,27803.069
-15.071944809866695,28803.069
-11.399626996557963,29803.069
-12.899750067415956,30803.069
-12.056056574828013,31803.069
-11.516617120060396,32803.069
-10.298581880470646,33803.069
-16.85042489033991,34803.069
-34.489229197418034,35803.069
-41.15136076451451,36803.069
-39.06314141006486,37803.069
-29.473252319759318,38803.069
-30.511107424818892,39803.069
-30.431460400370135,40803.069
-29.737573645343605,41803.069
-22.755589912507897,42803.069
-25.305479737515853,43803.069
-26.21574846422998,44803.069
-25.136253044712827,45803.069
-21.406259324928275,46803.069
-24.53507348738924,47803.069
-25.720481740780453,48803.069
-20.962757439583317,49803.069
-21.939658280262346,50803.069
-20.151881265277737,51803.069
-17.116378467054346,52803.069
-14.825961520100151,53803.069
-14.761912437510183,54803.069
-13.79528453875919,55803.069
-14.889014595915544,56803.069
-15.013524360973548,57803.069
-13.400835906758491,58803.069
-13.9220690175853,59803.069
-15.301916923940196,60803.069
-15.352996881906979,61803.069
-18.04485165711916,62803.069
-22.6291029103597,63803.069
-20.375939914176,64803.069
-20.48737043073061,65803.069
-20.127637798851126,66803.069
-20.334519284236265,67803.069
-19.027519119651423,68803.069
-18.211523288141642,69803.069
-19.748671875410327,70803.069
-15.015017423227,71803.069
-14.347040057944637,72803.069
-15.099041194663824,73803.069
-17.363295798687023,74803.069
-17.27762392187852,75803.069
-18.77756501788854,76803.069
-16.420404880052697,77803.069
-16.813612418885832,78803.069
-17.034980191401395,79803.069
-18.814487027312893,80803.069
-18.015271853554108,81803.069
-19.106081902213404,82803.069
-17.35547243437694,83803.069
-16.111732350386372,84803.069
-15.648265040522766,85803.069
-16.51217051644426,86803.069
-16.722258088778478,87803.069
-16.786105092070233,88803.069
-13.91022731208645,89803.069
-13.761613238117851,90803.069
-12.83096674190513,91803.069
-13.071144891365439,92803.069
-14.040047813897933,93803.069
-15.460781087584506,94803.069
-14.915545418084509,95803.069
-12.844912513653544,96803.069
-12.680164260366492,97803.069
-14.069459812455278,98803.069
-15.33593683070901,99803.069
-16.24489128528463,100803.069
-16.474994533391126,101803.069
-14.776427630791357,102803.069
-15.420009550258387,103803.069
-17.485467766932075,104803.069
-16.39411319524789,105803.069
-16.490907618095022,106803.069
-17.639629587602627,107803.069
-17.619453295979724,108803.069
-16.74591793898561,109803.069
-17.059508624188165,110803.069
-18.94496421785446,111803.069
