x,y
-6.290347981210502,39601.34
-6.141784199626777,40601.34
-6.149851839735617,41601.34
-6.143934837740658,42601.34
-6.140171570423011,43601.34
-6.14823771213075,44601.34
-6.145548165851924,45601.34
-6.143397128288166,46601.34
-6.1444725804827005,47601.34
-6.146623884428823,48601.34
-6.143934837740658,49601.34
-6.1471617936804615,50601.34
-6.146623884428823,51601.34
-6.143934837740658,52601.34
-6.147699736246395,53601.34
-6.146623884428823,54601.34
-6.146623884428823,55601.34
-6.1471617936804615,56601.34
-6.1471617936804615,57601.34
-6.145010356518414,58601.34
-6.147699736246395,59601.34
-6.1487757213376515,60601.34
-6.146623884428823,61601.34
-6.146623884428823,62601.34
-6.146623884428823,63601.34
-6.1471617936804615,64601.34
-6.146623884428823,65601.34
-6.1407090802247275,66601.34
-6.143934837740658,67601.34
-6.141246623291277,68601.34
-6.146086008487352,69601.34
-6.143397128288166,70601.34
-6.1487757213376515,71601.34
-6.145010356518414,72601.34
-6.141784199626777,73601.34
-6.14823771213075,74601.34
-6.145548165851924,75601.34
-6.1471617936804615,76601.34
-6.252695879842748,77601.34
-6.1471617936804615,78601.34
-6.146086008487352,79601.34
-6.145548165851924,80601.34
-6.1471617936804615,81601.34
-6.147699736246395,82601.34
-6.14823771213075,83601.34
-6.1487757213376515,84601.34
-6.14823771213075,85601.34
-6.146623884428823,86601.34
-6.1471617936804615,87601.34
-6.1471617936804615,88601.34
-6.147699736246395,89601.34
-6.146623884428823,90601.34
-6.146623884428823,91601.34
-6.1471617936804615,92601.34
-6.145548165851924,93601.34
-6.146086008487352,94601.34
-6.145548165851924,95601.34
-6.14823771213075,96601.34
-6.1471617936804615,97601.34
-6.151466267354912,98601.34
-6.145010356518414,99601.34
-6.1471617936804615,100601.34
-6.146086008487352,101601.34
-6.1471617936804615,102601.34
-6.1520044765838255,103601.34
-6.1444725804827005,104601.34
-6.1487757213376515,105601.34
-6.146086008487352,106601.34
-6.1444725804827005,107601.34
-6.146623884428823,108601.34
-6.147699736246395,109601.34
-6.14823771213075,110601.34
-6.149313763871231,111601.34
-6.1471617936804615,112601.34
-6.1444725804827005,113601.34
-6.145010356518414,114601.34
-6.1444725804827005,115601.34
-6.145548165851924,116601.34
-6.146623884428823,117601.34
-6.146086008487352,118601.34
-6.146086008487352,119601.34
-6.1471617936804615,120601.34
-6.1471617936804615,121601.34
-6.14823771213075,122601.34
-6.1471617936804615,123601.34
-6.145010356518414,124601.34
-6.145010356518414,125601.34
-6.145548165851924,126601.34
-6.1471617936804615,127601.34
-6.14823771213075,128601.34
-6.139096650597611,129601.34
-6.14823771213075,130601.34
-6.143397128288166,131601.34
-6.147699736246395,132601.34
-6.145010356518414,133601.34
-6.143397128288166,134601.34
-6.142321809235344,135601.34
-6.147699736246395,136601.34
-6.150928091473325,137601.34
-6.14823771213075,138601.34
-6.146623884428823,139601.34
-6.145548165851924,140601.34
-6.143934837740658,141601.34
-6.146086008487352,142601.34
-6.146086008487352,143601.34
-6.1471617936804615,144601.34
-6.143934837740658,145601.34
-6.147699736246395,146601.34
-6.145548165851924,147601.34
-6.146623884428823,148601.34
-6.146086008487352,149601.34
-6.145010356518414,150601.34
-6.146623884428823,151601.34
-6.146086008487352,152601.34
-6.146623884428823,153601.34
-6.145010356518414,154601.34
-6.146623884428823,155601.34
-6.147699736246395,156601.34
-6.14823771213075,157601.34
-6.14823771213075,158601.34
-6.145010356518414,159601.34
-6.149313763871231,160601.34
-6.140171570423011,161601.34
-6.146086008487352,162601.34
-6.143934837740658,163601.34
-6.142321809235344,164601.34
-6.145548165851924,165601.34
-6.146623884428823,166601.34
-6.145548165851924,167601.34
-6.143934837740658,168601.34
-6.147699736246395,169601.34
-6.142321809235344,170601.34
-6.14823771213075,171601.34
-6.149313763871231,172601.34
-6.141784199626777,173601.34
-6.142859452121101,174601.34
-6.141784199626777,175601.34
-6.143934837740658,176601.34
-6.146086008487352,177601.34
-6.1471617936804615,178601.34
-6.14823771213075,179601.34
-6.1471617936804615,180601.34
-6.1444725804827005,181601.34
-6.142859452121101,182601.34
-6.143934837740658,183601.34
-6.145010356518414,184601.34
-6.145010356518414,185601.34
-6.143934837740658,186601.34
-6.1444725804827005,187601.34
-6.145010356518414,188601.34
-6.145010356518414,189601.34
-6.1444725804827005,190601.34
-6.142859452121101,191601.34
-6.143397128288166,192601.34
-6.142321809235344,193601.34
-6.146623884428823,194601.34
-6.145548165851924,195601.34
-6.146623884428823,196601.34
-6.145010356518414,197601.34
-6.142859452121101,198601.34
-6.147699736246395,199601.34
-6.146623884428823,200601.34
-6.1444725804827005,201601.34
-6.138559240565694,202601.34
-6.145548165851924,203601.34
-6.1471617936804615,204601.34
-6.145548165851924,205601.34
-6.14823771213075,206601.34
-6.142321809235344,207601.34
-6.146623884428823,208601.34
-6.147699736246395,209601.34
-6.145010356518414,210601.34
-6.146086008487352,211601.34
-6.145548165851924,212601.34
-6.143397128288166,213601.34
-6.145548165851924,214601.34
-6.145010356518414,215601.34
-6.1444725804827005,216601.34
-6.1444725804827005,217601.34
-6.145548165851924,218601.34
-6.146086008487352,219601.34
-6.142859452121101,220601.34
-6.1444725804827005,221601.34
-6.143397128288166,222601.34
-6.143934837740658,223601.34
-6.251606944890145,224601.34
-6.145010356518414,225601.34
-6.143397128288166,226601.34
-6.143397128288166,227601.34
-6.141784199626777,228601.34
-6.146086008487352,229601.34
-6.146086008487352,230601.34
-6.143934837740658,231601.34
-6.145548165851924,232601.34
-6.145010356518414,233601.34
-6.145548165851924,234601.34
-6.1444725804827005,235601.34
-6.1471617936804615,236601.34
-6.14823771213075,237601.34
-6.145010356518414,238601.34
-6.1471617936804615,239601.34
-6.145548165851924,240601.34
-6.145010356518414,241601.34
-6.143934837740658,242601.34
-6.146086008487352,243601.34
-6.145548165851924,244601.34
-6.1444725804827005,245601.34
-6.145010356518414,246601.34
-6.143934837740658,247601.34
-6.143397128288166,248601.34
-6.1444725804827005,249601.34
-6.143934837740658,250601.34
-6.145010356518414,251601.34
-6.145010356518414,252601.34
-6.1444725804827005,253601.34
-6.1471617936804615,254601.34
-6.14823771213075,255601.34
-6.1444725804827005,256601.34
-6.141246623291277,257601.34
-6.14823771213075,258601.34
-6.143397128288166,259601.34
-6.142321809235344,260601.34
-6.151466267354912,261601.34
-6.146086008487352,262601.33999999997
-6.146086008487352,263601.33999999997
-6.146086008487352,264601.33999999997
-6.1407090802247275,265601.33999999997
-6.146623884428823,266601.33999999997
-6.143934837740658,267601.33999999997
-6.145010356518414,268601.33999999997
-6.143397128288166,269601.33999999997
-6.145548165851924,270601.33999999997
-6.145010356518414,271601.33999999997
-6.145010356518414,272601.33999999997
-6.146623884428823,273601.33999999997
-6.146086008487352,274601.33999999997
-6.145548165851924,275601.33999999997
-6.143397128288166,276601.33999999997
-6.1444725804827005,277601.33999999997
-6.146086008487352,278601.33999999997
-6.146623884428823,279601.33999999997
-6.146086008487352,280601.33999999997
-6.146623884428823,281601.33999999997
-6.146623884428823,282601.33999999997
-6.1444725804827005,283601.33999999997
-6.145548165851924,284601.33999999997
-6.142321809235344,285601.33999999997
-6.143934837740658,286601.33999999997
-6.142859452121101,287601.33999999997
-6.141246623291277,288601.33999999997
-6.149313763871231,289601.33999999997
-6.145010356518414,290601.33999999997
-6.145010356518414,291601.33999999997
-6.145010356518414,292601.33999999997
-6.143934837740658,293601.33999999997
-6.146623884428823,294601.33999999997
-6.146623884428823,295601.33999999997
-6.1471617936804615,296601.33999999997
-6.146623884428823,297601.33999999997
-6.143934837740658,298601.33999999997
-6.1444725804827005,299601.33999999997
-6.1444725804827005,300601.33999999997
-6.146086008487352,301601.33999999997
-6.146623884428823,302601.33999999997
-6.147699736246395,303601.33999999997
-6.145548165851924,304601.33999999997
-6.146086008487352,305601.33999999997
-6.145548165851924,306601.33999999997
-6.1471617936804615,307601.33999999997
-6.145010356518414,308601.33999999997
-6.1471617936804615,309601.33999999997
-6.145548165851924,310601.33999999997
-6.146086008487352,311601.33999999997
-6.145010356518414,312601.33999999997
-6.145548165851924,313601.33999999997
-6.145548165851924,314601.33999999997
-6.143397128288166,315601.33999999997
-6.149851839735617,316601.33999999997
-6.145010356518414,317601.33999999997
-6.14823771213075,318601.33999999997
-6.1471617936804615,319601.33999999997
-6.14823771213075,320601.33999999997
-6.143397128288166,321601.33999999997
-6.14823771213075,322601.33999999997
-6.143397128288166,323601.33999999997
-6.146623884428823,324601.33999999997
-6.142321809235344,325601.33999999997
-6.145548165851924,326601.33999999997
-6.143397128288166,327601.33999999997
-6.143934837740658,328601.33999999997
-6.142859452121101,329601.33999999997
-6.14823771213075,330601.33999999997
-6.146086008487352,331601.33999999997
-6.1487757213376515,332601.33999999997
-6.145548165851924,333601.33999999997
-6.146623884428823,334601.33999999997
-6.1471617936804615,335601.33999999997
-6.146086008487352,336601.33999999997
-6.145548165851924,337601.33999999997
-6.146086008487352,338601.33999999997
-6.146623884428823,339601.33999999997
-6.1471617936804615,340601.33999999997
-6.145010356518414,341601.33999999997
-6.147699736246395,342601.33999999997
-6.145548165851924,343601.33999999997
-6.146086008487352,344601.33999999997
-6.146086008487352,345601.33999999997
-6.145010356518414,346601.33999999997
-6.143934837740658,347601.33999999997
-6.1444725804827005,348601.33999999997
-6.145548165851924,349601.33999999997
-6.149851839735617,350601.33999999997
-6.1444725804827005,351601.33999999997
-6.142859452121101,352601.33999999997
-6.146086008487352,353601.33999999997
-6.143934837740658,354601.33999999997
-6.149851839735617,355601.33999999997
-6.146623884428823,356601.33999999997
-6.1487757213376515,357601.33999999997
-6.1444725804827005,358601.33999999997
-6.146086008487352,359601.33999999997
-6.141784199626777,360601.33999999997
-6.146086008487352,361601.33999999997
-6.1471617936804615,362601.33999999997
-6.145548165851924,363601.33999999997
-6.145010356518414,364601.33999999997
-6.1471617936804615,365601.33999999997
-6.1444725804827005,366601.33999999997
-6.1471617936804615,367601.33999999997
-6.14823771213075,368601.33999999997
-6.146623884428823,369601.33999999997
-6.146086008487352,370601.33999999997
-6.145010356518414,371601.33999999997
-6.146086008487352,372601.33999999997
-6.146086008487352,373601.33999999997
-6.145548165851924,374601.33999999997
-6.1471617936804615,375601.33999999997
-6.1444725804827005,376601.33999999997
-6.147699736246395,377601.33999999997
-6.1530809951001775,378601.33999999997
-6.141246623291277,379601.33999999997
-6.149851839735617,380601.33999999997
-6.1471617936804615,381601.33999999997
-6.149313763871231,382601.33999999997
-6.1444725804827005,383601.33999999997
-6.145548165851924,384601.33999999997
-6.143397128288166,385601.33999999997
-6.141784199626777,386601.33999999997
-6.1487757213376515,387601.33999999997
-6.143934837740658,388601.33999999997
-6.145548165851924,389601.33999999997
-6.145010356518414,390601.33999999997
-6.146623884428823,391601.33999999997
-6.1444725804827005,392601.33999999997
-6.146086008487352,393601.33999999997
-6.146623884428823,394601.33999999997
-6.145548165851924,395601.33999999997
-6.146086008487352,396601.33999999997
-6.143397128288166,397601.33999999997
-6.145548165851924,398601.33999999997
-6.146086008487352,399601.33999999997
-6.145010356518414,400601.33999999997
-6.145548165851924,401601.33999999997
-6.146623884428823,402601.33999999997
-6.146623884428823,403601.33999999997
-6.145010356518414,404601.33999999997
-6.143397128288166,405601.33999999997
-6.146623884428823,406601.33999999997
-6.146623884428823,407601.33999999997
-6.145548165851924,408601.33999999997
-6.139634093882011,409601.33999999997
-6.1471617936804615,410601.33999999997
-6.142859452121101,411601.33999999997
-6.1444725804827005,412601.33999999997
-6.14823771213075,413601.33999999997
-6.143934837740658,414601.33999999997
-6.1444725804827005,415601.33999999997
-6.146623884428823,416601.33999999997
-6.143397128288166,417601.33999999997
-6.142859452121101,418601.33999999997
-6.145010356518414,419601.33999999997
-6.141784199626777,420601.33999999997
-6.143397128288166,421601.33999999997
-6.142859452121101,422601.33999999997
-6.143397128288166,423601.33999999997
-6.143397128288166,424601.33999999997
-6.143397128288166,425601.33999999997
-6.1444725804827005,426601.33999999997
-6.143934837740658,427601.33999999997
-6.145548165851924,428601.33999999997
-6.145010356518414,429601.33999999997
-6.145010356518414,430601.33999999997
-6.143397128288166,431601.33999999997
-6.1444725804827005,432601.33999999997
-6.145548165851924,433601.33999999997
-6.145010356518414,434601.33999999997
-6.145010356518414,435601.33999999997
-6.145548165851924,436601.33999999997
