x,y
-19.262936512427274,36002.131
-16.077915334190966,37002.131
-13.110628995180043,38002.131
-15.797299253780468,39002.131
-16.19172445351597,40002.131
-22.06651057572801,41002.131
-18.613331119264203,42002.131
-16.702288430903096,43002.131
-21.013248306275617,44002.131
-19.13962744871846,45002.131
-20.848022597423604,46002.131
-15.85138648545557,47002.131
-19.78479862236107,48002.131
-17.40055331221252,49002.131
-20.804294247111788,50002.131
-41.273269988708556,51002.131
-15.351444582798557,52002.131
-14.226210052487346,53002.131
-17.260203747405953,54002.131
-21.4124947089994,55002.131
-20.798480398408742,56002.131
-21.694600941928712,57002.131
-23.989591790056004,58002.131
-21.85063908384111,59002.131
-22.20207149568018,60002.131
-22.876560155673932,61002.131
-21.082030026234698,62002.131
-24.86288181115263,63002.131
-20.445416285544052,64002.131
-21.82116761098881,65002.131
-41.36583807234997,66002.131
-17.621468817427,67002.131
-16.98800392958404,68002.131
-18.994402942571817,69002.131
-26.145548165851924,70002.131
-31.659523405651292,71002.131
-14.730064139822021,72002.131
-17.35547243437694,73002.131
-19.130029779633567,74002.131
-15.061430112955076,75002.131
-17.985792442242698,76002.131
-16.186596505140287,77002.131
-19.847081934143002,78002.131
-15.055427424645632,79002.131
-14.241222199522088,80002.131
-13.735800768487962,81002.131
-19.378145429631736,82002.131
-16.32091706288761,83002.131
-17.59731337296975,84002.131
-18.10857820591145,85002.131
-14.369190888280631,86002.131
-17.046292400039274,87002.131
-15.797299253780468,88002.131
-17.33399444523397,89002.131
-15.92568881741009,90002.131
-12.284192657728175,91002.131
-19.248338375145558,92002.131
-20.362111078842755,93002.131
-16.95060499284713,94002.131
-20.708859840051343,95002.131
-20.22774104562052,96002.131
-19.98622716485287,97002.131
-20.54644877424519,98002.131
-23.918549717885277,99002.131
-20.65152702701928,100002.131
-21.37204449607818,101002.131
-21.860485171770264,102002.131
-20.208713897512215,103002.131
-21.592111379505532,104002.131
-19.267808015436668,105002.131
-21.72364537053099,106002.131
-22.09345403165016,107002.131
-23.6440847199551,108002.131
-40.9125583796311,109002.131
-19.015677414152567,110002.131
-19.452490160010758,111002.131
-16.57269960904802,112002.131
-18.895805298763676,113002.131
-19.978291221278365,114002.131
-16.859652437832715,115002.131
-18.28083748850068,116002.131
-25.12668181549303,117002.131
-41.490817057890006,118002.131
-36.63005608416411,119002.131
-31.64938226073039,120002.131
-13.891838910400358,121002.131
-12.890391532220441,122002.131
-16.77695530755399,123002.131
-12.89273022088241,124002.131
-17.954317991914,125002.131
-13.563544649148351,126002.131
-14.30841151431167,127002.131
-13.548397039487954,128002.131
-16.85780614392884,129002.131
-26.598155602106853,130002.131
-15.003080105233224,131002.131
-17.231247537774806,132002.131
-19.792559656061105,133002.131
-19.766716466398254,134002.131
-18.35509498068411,135002.131
-17.929220291895685,136002.131
-21.06103874121523,137002.131
-18.24394545956142,138002.131
-15.393454341399178,139002.131
-16.42567278053039,140002.131
-16.357438026172094,141002.131
-22.954427777454825,142002.131
-29.049842017504155,143002.131
-21.02815459041814,144002.131
-14.054741363886983,145002.131
-15.274181222976345,146002.131
-17.90003100496018,147002.131
-18.110710497474404,148002.131
-16.870738450362616,149002.131
-18.042735470085162,150002.131
-17.8171695166574,151002.131
-15.66595033789008,152002.131
-16.508623083420453,153002.131
-19.228912278956297,154002.131
-21.739823228882752,155002.131
-22.026251455504827,156002.131
-22.171385298211863,157002.131
-14.287788102237247,158002.131
-12.843749510419823,159002.131
-15.590636368568415,160002.131
-18.443277358785213,161002.131
-14.847904831909107,162002.131
-12.964364408816476,163002.131
-17.804808191556734,164002.131
-13.577453202381378,165002.131
-18.608813101145138,166002.131
-15.703045457251363,167002.131
-16.294924356293972,168002.131
-14.94660081549841,169002.131
-13.80956947672049,170002.131
-14.912593543922515,171002.131
-15.693353185866572,172002.131
-15.145906259846559,173002.131
-17.165968661175025,174002.131
-21.166506173126184,175002.131
-22.462095591970275,176002.131
-16.46793139851274,177002.131
-14.828884094030169,178002.131
-13.256959312429661,179002.131
-15.624206610485256,180002.131
-13.889215170873365,181002.131
-16.99925508353814,182002.131
-16.258664750431343,183002.131
-20.348304225453816,184002.131
-21.49396468961065,185002.131
-20.859720767054565,186002.131
-16.765988273725704,187002.131
-15.625808434305021,188002.131
-15.884331298848807,189002.131
-14.253524193354842,190002.131
-14.359492948447672,191002.131
-13.56986395800335,192002.131
-15.401256272794182,193002.131
-18.82374210505382,194002.131
-34.559789208826054,195002.131
-16.39236324266051,196002.131
-14.968851420198275,197002.131
-17.108774273407743,198002.131
-15.471790817889087,199002.131
-21.199919323621792,200002.131
-15.056927707858287,201002.131
-20.108828440389665,202002.131
-20.127637798851126,203002.131
-15.554017221363212,204002.131
-15.365425271991066,205002.131
-16.538822546063933,206002.131
-11.927436851672882,207002.131
-17.11828055611003,208002.131
-14.818659384623366,209002.131
-19.849686789354628,210002.131
-16.982383813154986,211002.131
-12.322439701641276,212002.131
-17.29507910398214,213002.131
-15.927347221164638,214002.131
-14.801159265262118,215002.131
-21.550817988404386,216002.131
-16.09480738470761,217002.131
-17.90003100496018,218002.131
-21.30093697608703,219002.131
-16.115121304638517,220002.131
-18.731632125873784,221002.131
-16.196855431102257,222002.131
-17.481499795351844,223002.131
-21.42810278083283,224002.131
-17.99630932164604,225002.131
-18.14061767284865,226002.131
-14.459764072255343,227002.131
-22.076604579929754,228002.131
-21.03412427425317,229002.131
-15.363870750351472,230002.131
-16.074540862649663,231002.131
-18.86551242693317,232002.131
-15.191501585744529,233002.131
-20.04997709974454,234002.131
-16.843049904001642,235002.131
-15.212861592105892,236002.131
-16.62646018693285,237002.131
-15.65629934841044,238002.131
-20.625850211886743,239002.131
-17.065178882014212,240002.131
-15.1777978390607,241002.131
-19.380613362490525,242002.131
-20.370405737730056,243002.131
-19.469929210029633,244002.131
-13.222877863172744,245002.131
-17.129701845905657,246002.131
-18.766059002643857,247002.131
-19.15404386636499,248002.131
-11.966243644065472,249002.131
-22.002852854683006,250002.131
-16.637252347739015,251002.131
-18.791392385581435,252002.131
-22.91726088446747,253002.131
-21.63360202069704,254002.131
-16.624662796416747,255002.131
-16.773298090810247,256002.131
