x,y
-17.555202316826332,32407.989
-18.496619735062797,33407.989
-19.78479862236107,34407.989
-21.553987442786596,35407.989
-15.972244233203867,36407.989
-17.792464433480134,37407.989
-19.457469173983764,38407.989
-20.947962870109606,39407.989
-23.872889022043573,40407.989
-25.508003256941404,41407.989
-17.388770507369575,42407.989
-21.870342433624188,43407.989
-26.248340958900144,44407.989
-21.4187345725135,45407.989
-25.418508467792684,46407.989
-40.23318503805073,47407.989
-22.232866488245904,48407.989
-33.93129040731416,49407.989
-16.159298459844884,50407.989
-22.19183071284162,51407.989
-16.720440766951977,52407.989
-18.43441872503614,53407.989
-19.89408926880471,54407.989
-18.241780212226747,55407.989
-17.846081206435564,56407.989
-17.684183094484172,57407.989
-21.772269623124195,58407.989
-18.525650888273407,59407.989
-19.831469186431733,60407.989
-23.81923403304123,61407.989
-25.45817013322667,62407.989
-22.195242965738807,63407.989
-18.17277576081509,64407.989
-17.20238753900754,65407.989
-17.97528828128411,66407.989
-17.567213228587747,67407.989
-28.06360333084894,68407.989
-30.77283195243303,69407.989
-17.79040884486847,70407.989
-28.64611583633331,71407.989
-21.331781787045543,72407.989
-22.05642828830685,73407.989
-25.92254853080762,74407.989
-34.92145217767158,75407.989
-35.85632024851811,76407.989
-18.306973585366542,77407.989
-20.683013232537242,78407.989
-18.32444144371843,79407.989
-29.69700425987533,80407.989
-17.21969202879144,81407.989
-17.881318129561294,82407.989
-18.713326766858152,83407.989
-28.198795003794878,84407.989
-18.377056786665154,85407.989
-22.378037939451715,86407.989
-26.781384854328948,87407.989
-32.947871462733524,88407.989
-20.222300463145075,89407.989
-16.637252347739015,90407.989
-18.902810990476762,91407.989
-18.22663857535366,92407.989
-26.150928091473325,93407.989
-15.20980694476016,94407.989
-19.901948617527996,95407.989
-24.96087032413627,96407.989
-16.443255559081248,97407.989
-22.636281331956766,98407.989
-27.619081582500886,99407.989
-15.500165800199037,100407.989
-18.02371295202025,101407.989
-18.43663253660364,102407.989
-22.16798240310935,103407.989
-17.66795536507816,104407.989
-14.082861897567634,105407.989
-16.804433627333076,106407.989
-20.501400299130776,107407.989
-24.688331354239807,108407.989
-22.2740970544531,109407.989
-26.286520755046766,110407.989
-33.5068768100592,111407.989
-18.472130474698666,112407.989
-18.937924458205504,113407.989
-19.1708933180854,114407.989
-21.946288730689712,115407.989
-15.159559743880997,116407.989
-17.21969202879144,117407.989
-21.531825510783122,118407.989
-18.996764201153184,119407.989
-17.412352122681632,120407.989
-17.034980191401395,121407.989
-21.079028163533984,122407.989
-28.468629284138416,123407.989
-22.726515777786524,124407.989
-19.75124738014026,125407.989
-24.96087032413627,126407.989
-25.14104261728418,127407.989
-25.383952453207918,128407.989
-20.903729759892787,129407.989
-21.617620618510387,130407.989
-20.962757439583317,131407.989
-11.686963786541583,132407.989
-13.553443308119693,133407.989
-21.010270116759706,134407.989
-14.511746098266723,135407.989
-14.887543034770461,136407.989
-18.749976144599255,137407.989
-15.73543136217608,138407.989
-14.554123266265025,139407.989
-19.671759717278167,140407.989
-17.359383235720838,141407.989
-18.170628180228533,142407.989
-15.732187332394929,143407.989
-31.340739383622335,144407.989
-14.801159265262118,145407.989
-19.991521824960774,146407.989
